date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:50	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202025%2013:44:48%20GMT	https://bitvez.com/robots.txt		(from )
14:44:51	378606/378606	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202025%2013:44:50%20GMT	https://bitvez.com/	/Users/sodiq.oyebola/websites/calvin/bitvez.com/index.html	(from )
14:44:53	4192/4192	---M--	200	added ('OK')	image/png	etag:%220985ddb3549db1:0%22	https://bitvez.com/imgs/fav.png	/Users/sodiq.oyebola/websites/calvin/bitvez.com/imgs/fav.png	(from https://bitvez.com/)
14:44:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202025%2013:44:53%20GMT	https://bitvez.com/static.zdassets.com/ekr/snippeteaaf.js?key=03a84f92-0fab-4cd7-8e75-b9c1cb2ce992	/Users/sodiq.oyebola/websites/calvin/bitvez.com/static.zdassets.com/ekr/snippeteaaf.1eaaf.delayed	(from https://bitvez.com/)
14:44:56	65142/65142	---M-Z	200	added ('OK')	application/javascript	etag:%220176cbcc13fdb1:0%22	https://bitvez.com/assets/web-frontend/client/runtime.aee76.js	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/runtime.aee76.js	(from https://bitvez.com/)
14:44:58	246683/246683	---MCZ	200	added ('OK')	application/javascript	etag:%220c72436921edb1:0%22	https://bitvez.com/assets/web-frontend/client/commons/app.19539.js	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/commons/app.19539.js	(from https://bitvez.com/)
14:45:00	94797/94797	---M-Z	200	added ('OK')	text/css	etag:%220176cbcc13fdb1:0%22	https://bitvez.com/assets/web-frontend/client/css/f89b17b.css	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/css/f89b17b.css	(from https://bitvez.com/)
14:45:03	2354820/2354820	---MCZ	200	added ('OK')	application/javascript	etag:%220c72436921edb1:0%22	https://bitvez.com/assets/web-frontend/client/vendors/app.1a24d.js	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/vendors/app.1a24d.js	(from https://bitvez.com/)
14:45:05	413059/413059	---M-Z	200	added ('OK')	text/css	etag:%220176cbcc13fdb1:0%22	https://bitvez.com/assets/web-frontend/client/css/aaeba53.css	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/css/aaeba53.css	(from https://bitvez.com/)
14:45:07	919655/919655	---MCZ	200	added ('OK')	application/javascript	etag:%220a4f1c3a947db1:0%22	https://bitvez.com/assets/web-frontend/client/app.42046.js	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/app.42046.js	(from https://bitvez.com/)
14:45:07	29656/29656	---M-Z	200	added ('OK')	text/css	etag:%220176cbcc13fdb1:0%22	https://bitvez.com/assets/web-frontend/client/css/2adeff9.css	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/css/2adeff9.css	(from https://bitvez.com/)
14:45:08	85039/85039	---M-Z	200	added ('OK')	application/javascript	etag:%220d122c5a947db1:0%22	https://bitvez.com/assets/web-frontend/client/pages/index.99b72.js	/Users/sodiq.oyebola/websites/calvin/bitvez.com/assets/web-frontend/client/pages/index.99b72.js	(from https://bitvez.com/)
